"poll_id","location_line_1","location_line_2","Zone"
8249,"SOLON COMMUNITY CENTER","35000 PORTZ PARKWAY",3
8262,"SOUTH EUCLID - LYNDHURST BRANCH LIBRARY","1876 SOUTH GREEN ROAD",1
7160,"SOUTH EUCLID COMMUNITY CENTER","1370 VICTORY DRIVE",1
8329,"SOUTH SUBURBAN MONTESSORI SCHOOL","4450 OAKES ROAD",5
1030,"ST BARNABAS EPISCOPAL CHURCH","468 BRADLEY ROAD",6
2980,"ST JOHN LUTHERAN CHURCH","17403 NOTTINGHAM ROAD",2
7890,"ST LADISLAS CHURCH","2345 BASSETT ROAD",6
4030,"ST LEO PARISH COMMUNITY CENTER","4940 BROADVIEW ROAD",4
8129,"ST MARYS CATHOLIC CHURCH","250 KRAFT STREET",6
2710,"ST MEL HALL","14436 TRISKETT ROAD",6
1430,"ST MICHAELS WOODSIDE HALL","5025 EAST MILL ROAD",5
3920,"ST PATRICKS CHURCH","4427 ROCKY RIVER DRIVE",6
8194,"ST PAULS EPISCOPAL CHURCH","2747 FAIRMOUNT BOULEVARD",2
7240,"ST PETER UNITED CHURCH OF CHRIST","125 EAST RIDGEWOOD DRIVE",5
1590,"ST THOMAS MORE CHURCH","4180 NORTH AMBER DRIVE",4
7350,"STEPHANIE TUBBS JONES COMMUNITY BUILDING","3450 LEE ROAD",1
2010,"STONEBROOK - WHITE SCHOOL","1000 EAST 92ND STREET",2
8208,"STRONGSVILLE CITY SCHOOLS ADMIN OFFICES","18199 COOK AVENUE",5
7540,"STRONGSVILLE COMMUNITY LIBRARY","18700 WESTWOOD DRIVE",5
7600,"STRONGSVILLE HIGH SCHOOL","20025 LUNN ROAD",5
7530,"STRONGSVILLE MIDDLE SCHOOL","13200 PEARL ROAD",5
5135,"STS ROBERT AND WILLIAM CATHOLIC SCHOOL","351 EAST 260TH STREET",1
4900,"SUPERIOR SCHOOL FOR THE PERFORMING ARTS","1865 GARFIELD ROAD",2
6600,"THE CHURCH OF THE WESTERN RESERVE","30500 FAIRMOUNT BOULEVARD",1
8337,"THE CITY CLUB OF CLEVELAND","1317 EUCLID AVENUE",4
8181,"THE DRAKE APARTMENTS","6503 1/2 MARSOL ROAD",1
8258,"THE GEMINI CENTER","21225 LORAIN ROAD",6
6810,"THOREAU PARK ELEMENTARY SCHOOL","5401 WEST 54TH STREET",5
4550,"THURGOOD MARSHALL RECREATION CENTER","8611 HOUGH AVENUE",2
3250,"TREMONT MONTESSORI SCHOOL","2409 WEST 10TH STREET",4
8135,"TRINITY CHURCH","14040 EAST BAGLEY ROAD",5
8117,"UAW HALL LOCAL 1250","17250 HUMMEL ROAD",5
3570,"UNION SQUARE APARTMENTS","3495 EAST 98TH STREET",3
7170,"UNIVERSITY HTS LIBRARY","13866 CEDAR ROAD",1
6670,"VALLEY FORGE HIGH SCHOOL","9999 INDEPENDENCE BOULEVARD",5
7710,"VALLEY VIEW COMMUNITY CENTER","6828 HATHAWAY ROAD",3
8336,"VICS EVENT CENTER","1512 SOUTH GREEN ROAD",1
8007,"W H KIRK MIDDLE SCHOOL","14410 TERRACE ROAD",2
4370,"WADE PARK SCHOOL","7600 WADE PARK AVENUE",2
8333,"WALTON HILLS COMMUNITY EVENT CENTER","14660 ALEXANDER ROAD",3
8180,"WARNER GIRLS LEADERSHIP ACADEMY","8315 JEFFRIES AVENUE",3
7780,"WARRENSVILLE HTS BRANCH LIBRARY","4415 NORTHFIELD ROAD",3
8170,"WARRENSVILLE HTS SENIOR CENTER","4567 GREEN ROAD",3
8234,"WEST PARK ACADEMY","4697 WEST 130TH STREET",4
8321,"WESTLAKE BOE AT HILLIARD","24365 HILLIARD BOULEVARD",6
8056,"WESTLAKE CITY HALL","27700 HILLIARD BOULEVARD",6
8313,"WESTLAKE CTR FOR COMMUNITY SERVICES","28975 HILLIARD BOULEVARD",6
8196,"WESTLAKE RECREATION CENTER","28955 HILLIARD BOULEVARD",6
8252,"WESTSIDE COMMUNITY SCHOOL OF THE ARTS","3727 BOSWORTH ROAD",4
8315,"WHITNEY YOUNG PRE-8 SCHOOL","17900 HARVARD AVENUE",3
8253,"WILLIAM RAINEY HARPER PRE-3 SCHOOL","5515 IRA AVENUE",4
8154,"WILLSON SCHOOL","1126 ANSEL ROAD",2
8240,"WILLSON UNITED METHODIST CHURCH","9226 ST CLAIR AVENUE",2
7860,"WOODMERE TOWN HALL","27899 CHAGRIN BOULEVARD",1
6170,"WYLIE ATHLETIC CENTER AT MAPLE HTS HIGH","1 MUSTANG WAY",3
2390,"ZELMA GEORGE RECREATION CENTER","3155 MARTIN LUTHER KING JR DRIVE",3
