"poll_id","status","Latitude","Longitude","location_line_1","location_line_2","city","Precincts"
4220,"A",41.5394879999999986,-81.6061310000000049,"GLENVILLE HIGH SCHOOL","650 EAST 113TH STREET","CLEVELAND","9C 9E 9I"
5410,"A",41.3572369999999978,-81.4694949999999949,"GLENWILLOW VILLAGE HALL","29555 PETTIBONE ROAD","GLENWILLOW","1A 2A 3A"
8028,"A",41.3633379999999988,-81.8076630000000051,"GRACE CHRISTIAN MISSIONARY ALLIANCE CH","7393 PEARL ROAD","MIDDLEBURG HTS","2B 2C 3B"
5690,"A",41.4831069999999968,-81.8013689999999940,"GRANT ELEMENTARY SCHOOL","1470 VICTORIA AVENUE","LAKEWOOD","2F 2G"
7485,"A",41.3640279999999976,-81.4012390000000039,"GRANTWOOD GOLF COURSE","38855 AURORA ROAD","SOLON","1A 1B 1C"
6730,"A",41.3602690000000024,-81.6984889999999950,"GREEN VALLEY ELEMENTARY SCHOOL","2401 WEST PLEASANT VALLEY ROAD","PARMA","6C 6E"
6630,"A",41.3952200000000019,-81.7737609999999933,"GREENBRIAR MIDDLE SCHOOL ANNEX","11810 HUFFMAN ROAD","PARMA","1A 1B 1C"
8025,"A",41.4343969999999970,-81.8144199999999984,"GUNNING PARK RECREATION CENTER","16700 PURITAS AVENUE","CLEVELAND","15B 15E 15F 15H"
8250,"A",41.4682499999999976,-81.7400650000000013,"HALLE SCHOOL OF INQUIRY","7901 HALLE AVENUE","CLEVELAND","11F"
2280,"A",41.4562430000000006,-81.7702149999999932,"HALLORAN SKATING RINK","11815 LINNET AVENUE","CLEVELAND","12I 12L 13C"
8064,"A",41.5694310000000016,-81.5523680000000013,"HANNAH GIBBONS-NOTTINGHAM SCHOOL","1401 LARCHMONT ROAD","CLEVELAND","10E 10N"
5750,"A",41.4763710000000003,-81.8128009999999932,"HARDING MIDDLE SCHOOL","16601 MADISON AVENUE","LAKEWOOD","1B 1C 1D"
8068,"A",41.4748230000000007,-81.7771450000000044,"HARRISON ELEMENTARY SCHOOL","2080 QUAIL STREET","LAKEWOOD","3I 4G 4H"
5730,"A",41.4708510000000032,-81.8106449999999938,"HAYES ELEMENTARY SCHOOL","16401 DELAWARE AVENUE","LAKEWOOD","1A 2D 2H"
1350,"A",41.3644279999999966,-81.8772060000000010,"HERITAGE CONGREGATIONAL CHURCH","485 WEST STREET","BEREA","5A 5B 5C"
5420,"A",41.4594790000000017,-81.5334469999999953,"HIGHLAND HILLS VILLAGE HALL","3700 NORTHFIELD ROAD","HIGHLAND HILLS","A"
5450,"A",41.5533059999999992,-81.4691409999999934,"HIGHLAND HTS COMMUNITY CENTER","5827 HIGHLAND ROAD","HIGHLAND HTS","1A 1B 2A 2B 3A 3B 4A 4B"
8059,"A",41.5502960000000030,-81.5082320000000067,"HOPE UNITED CHURCH","499 TREBISKY ROAD","RICHMOND HTS","4A 4B"
5520,"A",41.4892150000000015,-81.8219780000000014,"HORACE MANN ELEMENTARY SCHOOL","1215 WEST CLIFTON BOULEVARD","LAKEWOOD","1E 1F 1G 1H"
7560,"A",41.2897490000000005,-81.7923260000000028,"HOWARD CHAPMAN ELEMENTARY SCHOOL","13883 DRAKE ROAD","STRONGSVILLE","2A 2C 2D 2H"
5440,"A",41.4914070000000024,-81.4069750000000028,"HUNTING VALLEY VILLAGE HALL","38251 FAIRMOUNT BOULEVARD","HUNTING VALLEY","A"
8187,"A",41.5241180000000014,-81.5558680000000038,"IMANI TEMPLE MINISTRIES","2463 NORTH TAYLOR ROAD","CLEVELAND HTS","4C 4H 5C 5E"
8233,"A",41.3766570000000016,-81.6465570000000014,"INDEPENDENCE CIVIC CENTER","6363 SELIG DRIVE","INDEPENDENCE","(ALL) - A B C D E"
8072,"A",41.4547019999999975,-81.6009370000000018,"JOHN ADAMS HIGH SCHOOL","3817 MARTIN LUTHER KING JR DRIVE","CLEVELAND","2E 2G 2H (No Active Splits Nov 2025)"
